step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
417,928,1024,0.9062,24.801,40.321,0,0.000,0,1024
418,929,1024,0.9072,24.806,40.313,0,0.000,0,1024
419,930,1024,0.9082,24.809,40.308,0,0.000,0,1024
420,931,1024,0.9092,24.410,40.967,0,0.000,0,1024
421,932,1024,0.9102,24.848,40.245,0,0.000,0,1024
422,933,1024,0.9111,24.787,40.344,0,0.000,0,1024
423,934,1024,0.9121,24.811,40.305,0,0.000,0,1024
424,935,1024,0.9131,24.382,41.014,0,0.000,0,1024
425,936,1024,0.9141,25.084,39.866,0,0.000,0,1024
426,937,1024,0.9150,24.852,40.238,0,0.000,0,1024
427,938,1024,0.9160,24.873,40.204,0,0.000,0,1024
428,939,1024,0.9170,24.403,40.979,0,0.000,0,1024
429,940,1024,0.9180,24.790,40.339,0,0.000,0,1024
430,941,1024,0.9189,24.805,40.314,0,0.000,0,1024
431,942,1024,0.9199,24.792,40.336,0,0.000,0,1024
432,943,1024,0.9209,24.317,41.123,0,0.000,0,1024
433,944,1024,0.9219,24.827,40.279,0,0.000,0,1024
434,945,1024,0.9229,24.739,40.422,0,0.000,0,1024
435,946,1024,0.9238,24.773,40.367,0,0.000,0,1024
436,947,1024,0.9248,24.500,40.816,0,0.000,0,1024
437,948,1024,0.9258,24.798,40.326,0,0.000,0,1024
438,949,1024,0.9268,24.988,40.019,0,0.000,0,1024
439,950,1024,0.9277,24.804,40.316,0,0.000,0,1024
440,951,1024,0.9287,24.749,40.406,0,0.000,0,1024
441,952,1024,0.9297,24.783,40.350,0,0.000,0,1024
442,953,1024,0.9307,24.515,40.791,0,0.000,0,1024
443,954,1024,0.9316,24.537,40.755,0,0.000,0,1024
444,955,1024,0.9326,24.775,40.363,0,0.000,0,1024
445,956,1024,0.9336,24.803,40.318,0,0.000,0,1024
446,957,1024,0.9346,24.681,40.517,0,0.000,0,1024
447,958,1024,0.9355,24.361,41.049,0,0.000,0,1024
448,959,1024,0.9365,24.778,40.358,0,0.000,0,1024
449,960,1024,0.9375,24.779,40.357,0,0.000,0,1024
450,961,1024,0.9385,24.793,40.334,0,0.000,0,1024
451,962,1024,0.9395,24.958,40.067,0,0.000,0,1024
