step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
302,813,1024,0.7939,28.434,35.169,0,0.000,0,1024
303,814,1024,0.7949,28.660,34.892,0,0.000,0,1024
304,815,1024,0.7959,29.680,33.693,0,0.000,0,1024
305,816,1024,0.7969,32.059,31.192,0,0.000,0,1024
306,817,1024,0.7979,30.308,32.995,0,0.000,0,1024
307,818,1024,0.7988,28.701,34.842,0,0.000,0,1024
308,819,1024,0.7998,29.824,33.530,0,0.000,0,1024
309,820,1024,0.8008,36.956,27.059,0,0.000,0,1024
310,821,1024,0.8018,31.680,31.566,0,0.000,0,1024
311,822,1024,0.8027,37.682,26.538,0,0.000,0,1024
312,823,1024,0.8037,30.982,32.277,0,0.000,0,1024
313,824,1024,0.8047,33.021,30.284,0,0.000,0,1024
314,825,1024,0.8057,33.299,30.031,0,0.000,0,1024
315,826,1024,0.8066,36.655,27.281,0,0.000,0,1024
316,827,1024,0.8076,36.021,27.762,0,0.000,0,1024
317,828,1024,0.8086,31.391,31.856,0,0.000,0,1024
318,829,1024,0.8096,30.168,33.148,0,0.000,0,1024
319,830,1024,0.8105,27.683,36.123,0,0.000,0,1024
320,831,1024,0.8115,27.875,35.874,0,0.000,0,1024
321,832,1024,0.8125,27.358,36.552,0,0.000,0,1024
322,833,1024,0.8135,33.373,29.964,0,0.000,0,1024
323,834,1024,0.8145,28.185,35.480,0,0.000,0,1024
324,835,1024,0.8154,29.091,34.375,0,0.000,0,1024
325,836,1024,0.8164,27.354,36.558,0,0.000,0,1024
326,837,1024,0.8174,29.096,34.369,0,0.000,0,1024
327,838,1024,0.8184,28.338,35.288,0,0.000,0,1024
328,839,1024,0.8193,27.714,36.083,0,0.000,0,1024
329,840,1024,0.8203,29.602,33.782,0,0.000,0,1024
330,841,1024,0.8213,34.768,28.762,0,0.000,0,1024
331,842,1024,0.8223,32.695,30.586,0,0.000,0,1024
332,843,1024,0.8232,35.284,28.341,0,0.000,0,1024
333,844,1024,0.8242,36.188,27.633,0,0.000,0,1024
334,845,1024,0.8252,36.053,27.737,0,0.000,0,1024
335,846,1024,0.8262,28.384,35.231,0,0.000,0,1024
336,847,1024,0.8271,28.279,35.362,0,0.000,0,1024
337,848,1024,0.8281,27.028,36.999,0,0.000,0,1024
338,849,1024,0.8291,27.637,36.183,0,0.000,0,1024
339,850,1024,0.8301,27.456,36.422,0,0.000,0,1024
340,851,1024,0.8311,29.018,34.461,0,0.000,0,1024
341,852,1024,0.8320,31.997,31.253,0,0.000,0,1024
342,853,1024,0.8330,35.183,28.423,0,0.000,0,1024
343,854,1024,0.8340,27.743,36.045,0,0.000,0,1024
344,855,1024,0.8350,27.390,36.510,0,0.000,0,1024
345,856,1024,0.8359,35.480,28.185,0,0.000,0,1024
346,857,1024,0.8369,28.078,35.615,0,0.000,0,1024
347,858,1024,0.8379,27.035,36.989,0,0.000,0,1024
348,859,1024,0.8389,27.550,36.298,0,0.000,0,1024
349,860,1024,0.8398,32.604,30.671,0,0.000,0,1024
350,861,1024,0.8408,28.384,35.231,0,0.000,0,1024
351,862,1024,0.8418,29.124,34.336,0,0.000,0,1024
352,863,1024,0.8428,36.369,27.496,0,0.000,0,1024
353,864,1024,0.8438,28.120,35.562,0,0.000,0,1024
354,865,1024,0.8447,28.066,35.630,0,0.000,0,1024
355,866,1024,0.8457,29.012,34.468,0,0.000,0,1024
356,867,1024,0.8467,28.399,35.213,0,0.000,0,1024
357,868,1024,0.8477,29.066,34.404,0,0.000,0,1024
358,869,1024,0.8486,35.619,28.075,0,0.000,0,1024
359,870,1024,0.8496,27.237,36.715,0,0.000,0,1024
360,871,1024,0.8506,27.185,36.785,0,0.000,0,1024
361,872,1024,0.8516,28.150,35.524,0,0.000,0,1024
362,873,1024,0.8525,27.277,36.661,0,0.000,0,1024
363,874,1024,0.8535,36.169,27.648,0,0.000,0,1024
364,875,1024,0.8545,27.439,36.444,0,0.000,0,1024
365,876,1024,0.8555,27.030,36.996,0,0.000,0,1024
366,877,1024,0.8564,29.765,33.597,0,0.000,0,1024
367,878,1024,0.8574,30.868,32.396,0,0.000,0,1024
368,879,1024,0.8584,27.438,36.446,0,0.000,0,1024
369,880,1024,0.8594,27.359,36.551,0,0.000,0,1024
370,881,1024,0.8604,31.121,32.133,0,0.000,0,1024
371,882,1024,0.8613,31.889,31.359,0,0.000,0,1024
372,883,1024,0.8623,33.938,29.465,0,0.000,0,1024
373,884,1024,0.8633,35.291,28.336,0,0.000,0,1024
374,885,1024,0.8643,36.652,27.284,0,0.000,0,1024
375,886,1024,0.8652,32.805,30.483,0,0.000,0,1024
376,887,1024,0.8662,35.069,28.515,0,0.000,0,1024
377,888,1024,0.8672,29.180,34.270,0,0.000,0,1024
378,889,1024,0.8682,35.338,28.298,0,0.000,0,1024
379,890,1024,0.8691,34.413,29.059,0,0.000,0,1024
380,891,1024,0.8701,35.029,28.548,0,0.000,0,1024
381,892,1024,0.8711,30.948,32.312,0,0.000,0,1024
382,893,1024,0.8721,35.329,28.305,0,0.000,0,1024
383,894,1024,0.8730,29.420,33.990,0,0.000,0,1024
384,895,1024,0.8740,33.660,29.709,0,0.000,0,1024
385,896,1024,0.8750,32.377,30.886,0,0.000,0,1024
386,897,1024,0.8760,34.538,28.954,0,0.000,0,1024
387,898,1024,0.8770,34.481,29.001,0,0.000,0,1024
388,899,1024,0.8779,30.347,32.952,0,0.000,0,1024
389,900,1024,0.8789,34.499,28.986,0,0.000,0,1024
390,901,1024,0.8799,34.386,29.082,0,0.000,0,1024
391,902,1024,0.8809,30.303,33.000,0,0.000,0,1024
392,903,1024,0.8818,33.856,29.537,0,0.000,0,1024
393,904,1024,0.8828,26.064,38.367,0,0.000,0,1024
394,905,1024,0.8838,26.135,38.263,0,0.000,0,1024
395,906,1024,0.8848,25.784,38.784,0,0.000,0,1024
396,907,1024,0.8857,26.132,38.267,0,0.000,0,1024
397,908,1024,0.8867,26.139,38.257,0,0.000,0,1024
398,909,1024,0.8877,28.069,35.626,0,0.000,0,1024
399,910,1024,0.8887,26.105,38.307,0,0.000,0,1024
400,911,1024,0.8896,26.037,38.407,0,0.000,0,1024
401,912,1024,0.8906,26.452,37.804,0,0.000,0,1024
402,913,1024,0.8916,30.108,33.214,0,0.000,0,1024
403,914,1024,0.8926,26.381,37.906,0,0.000,0,1024
404,915,1024,0.8936,34.774,28.757,0,0.000,0,1024
405,916,1024,0.8945,26.559,37.652,0,0.000,0,1024
406,917,1024,0.8955,32.379,30.884,0,0.000,0,1024
407,918,1024,0.8965,35.395,28.253,0,0.000,0,1024
408,919,1024,0.8975,26.243,38.105,0,0.000,0,1024
409,920,1024,0.8984,30.975,32.284,0,0.000,0,1024
410,921,1024,0.8994,27.871,35.880,0,0.000,0,1024
411,922,1024,0.9004,26.643,37.533,0,0.000,0,1024
412,923,1024,0.9014,27.537,36.315,0,0.000,0,1024
413,924,1024,0.9023,35.189,28.418,0,0.000,0,1024
414,925,1024,0.9033,35.360,28.281,0,0.000,0,1024
415,926,1024,0.9043,31.087,32.168,0,0.000,0,1024
416,927,1024,0.9053,27.217,36.742,0,0.000,0,1024
417,928,1024,0.9062,26.897,37.179,0,0.000,0,1024
418,929,1024,0.9072,32.659,30.619,0,0.000,0,1024
419,930,1024,0.9082,33.506,29.845,0,0.000,0,1024
420,931,1024,0.9092,28.406,35.204,0,0.000,0,1024
421,932,1024,0.9102,36.857,27.132,0,0.000,0,1024
422,933,1024,0.9111,35.606,28.085,0,0.000,0,1024
423,934,1024,0.9121,30.514,32.772,0,0.000,0,1024
424,935,1024,0.9131,35.013,28.561,0,0.000,0,1024
425,936,1024,0.9141,35.425,28.229,0,0.000,0,1024
426,937,1024,0.9150,29.016,34.464,0,0.000,0,1024
427,938,1024,0.9160,35.263,28.358,0,0.000,0,1024
428,939,1024,0.9170,32.144,31.110,0,0.000,0,1024
429,940,1024,0.9180,33.195,30.125,0,0.000,0,1024
430,941,1024,0.9189,33.121,30.192,0,0.000,0,1024
431,942,1024,0.9199,35.291,28.336,0,0.000,0,1024
432,943,1024,0.9209,34.897,28.656,0,0.000,0,1024
433,944,1024,0.9219,30.643,32.634,0,0.000,0,1024
434,945,1024,0.9229,26.186,38.188,0,0.000,0,1024
435,946,1024,0.9238,27.916,35.822,0,0.000,0,1024
436,947,1024,0.9248,26.459,37.794,0,0.000,0,1024
437,948,1024,0.9258,26.231,38.123,0,0.000,0,1024
438,949,1024,0.9268,34.487,28.996,0,0.000,0,1024
439,950,1024,0.9277,34.334,29.126,0,0.000,0,1024
440,951,1024,0.9287,33.088,30.222,0,0.000,0,1024
441,952,1024,0.9297,34.162,29.272,0,0.000,0,1024
