pos,cell,score
3221,915,228.220749
3222,916,256.579926
3223,917,402.523224
3846,918,-0.684361
3225,919,248.301590
3226,920,278.565613
3227,921,235.591629
3228,922,311.210510
3229,923,292.735626
3230,924,240.063187
3838,925,2.878173
3232,926,297.281555
3233,927,395.109558
3234,928,320.748474
3235,929,308.672638
3236,930,278.794342
3237,931,468.034271
3238,932,257.297882
3239,933,752.267090
3860,934,1.359448
3241,935,343.383392
3242,936,583.815369
3243,937,355.063568
938,938,900.756409
3244,939,252.680511
3245,940,237.235565
3246,941,257.668121
3247,942,403.205688
3845,943,14.957476
3249,944,245.420395
3250,945,301.292694
3251,946,235.428986
3252,947,302.438751
3253,948,303.848938
3254,949,243.121841
3836,950,-2.920238
3256,951,301.903290
3257,952,400.094635
3258,953,322.130035
3259,954,382.388916
3260,955,280.569061
3261,956,463.276947
3262,957,254.444092
3263,958,619.655884
959,959,1185.816040
3852,960,-3.184303
3265,961,338.989990
3266,962,581.361877
3267,963,345.218872
3268,964,258.216888
3269,965,240.099915
3270,966,257.374695
3271,967,406.671631
3843,968,-1.138418
3273,969,245.215683
3274,970,278.240479
3275,971,231.893051
3276,972,301.081451
3277,973,322.751373
3278,974,242.266754
3835,975,-5.335909
3280,976,287.079041
3281,977,393.737732
3282,978,308.260315
3283,979,425.532043
3284,980,276.314178
3285,981,470.115723
3286,982,247.185944
3287,983,565.080627
3848,984,11.811867
3289,985,336.206940
3290,986,569.117065
3291,987,337.081512
3292,988,234.124039
3293,989,231.796310
3294,990,251.712692
3295,991,410.464020
3841,992,13.436444
3297,993,223.915817
3298,994,292.725647
3863,995,1.771871
3300,996,303.525635
3301,997,329.745972
3302,998,224.197586
3834,999,37.433125
3304,1000,289.364014
3305,1001,378.409424
3306,1002,324.393005
3307,1003,397.398041
3308,1004,263.689117
3309,1005,447.132416
3310,1006,255.671722
3311,1007,524.579102
3847,1008,-5.434329
3313,1009,322.781769
3314,1010,557.142395
3315,1011,339.663635
3316,1012,238.751038
3317,1013,236.036148
3318,1014,239.773071
3319,1015,390.084229
3842,1016,-3.095680
3321,1017,243.440842
3322,1018,226.307678
3323,1019,226.772919
3324,1020,289.206207
3325,1021,270.618958
3326,1022,222.987167
3840,1023,22.029594
